ASTROLAND-2;;145.925 ;436.666 ;436.666 ;1k2/2k4 AFSK FM APRS SSTV CW;AM3SAT;re-entered
Athenoxat-1;41168;;437.485 ;437.485 ;2k4*GMSK 4k8*AFSK CW;ATX1;active
Atlantis;42737;;436.390 ;;9600bps GMSK;WD8DOX;re-entered
ATL-1;44830;;437.175 ;;12.5kbps GMSK;;re-entered
AubieSat-1;37854;;437.475 ;;1200bps AFSK CW;;inactive
Aurora;48956;;400.500 ;;FM;;inactive
AuroraSat;;;437.875/2428.000;;9600bps GFSK;;to be launched
AUTcube2;;;437.385 ;437.505 ;1k2AFSK 9k6FSK WSJT;JJ2YTA;unknown
AzaadiSAT;;;437.400 ;;1200bps FSK SSTV LoRa;;re-entered
AzaadiSAT-2;55563;;437.400 ;;1200bps FSK LoRa;AZDSAT;inactive
AzTechSat-1;45261;;437.300 ;;9600bps GMSK/FSK;;re-entered
BAMA-1;;;437.460 ;;2k4 2GFSK 38k4 4GFSK;;failure
BCCSAT-1;48041;;435.635 ;435.635 ;4800bps GMSK CW;HS0W;active
BDSat;52175;;145.850/436.025*;436.025 ;9600*bps GFSK CW;OK0BDS;active
BDSat-2;55098;;145.850/436.025;436.025 ;9600bps GFSK CW;OK0BDT;active
BeaverCube;53770;;401.500 ;;FSK;;inactive
BeEagleSat;42736;;437.370 ;;9600bps GMSK;ON01TR;re-entered
BEESAT-1;35933;;436.000 ;;4k8/9k6 GMSK;DP0BEE;inactive
BEESAT-2;39136;;435.950 ;435.950 ;4800bps GMSK CW;DP0BEF;inactive
BEESAT-3;39135;;435.950 ;435.950 ;4800bps GMSK CW;DP0BEG;inactive
BEESAT-4;41619;;435.950 ;435.950 ;4800bps GMSK CW;DP0BEH;inactive
BEESAT-5;48083;;435.950 ;;4800bps GMSK;DB0BEI;active
BEESAT-6;48083;;435.950 ;;4800bps GMSK;DB0BEJ;active
BEESAT-7;48084;;435.950 ;;4800bps GMSK;DB0BEK;active
BEESAT-8;48084;;435.950 ;;4800bps GMSK;DB0BEL;active
BEESAT-9;44412;;435.950 ;;4k8*/9k6 GMSK;DP0BEM;active
BEESAT-10;;;435.950 ;;1200bps GMSK;;unknown
BEESAT-11;;;435.950 ;;1200bps GMSK;;unknown
BEESAT-12;;;435.950 ;;1200bps GMSK;;unknown
BEESAT-13;;;435.950 ;;1200bps GMSK;;unknown
BELIEFSAT-1;;435.825 ;145.825 ;;1200bps FM;;unknown
BELL;39142;;2401.200-2431.200;437.425 ;1200bps AFSK;KJ6KRW-1;re-entered
Bevo-2;41314;;437.325 ;;38k4 FSK CW;;inactive
BHUTAN-1;43591;145.825 ;145.825 ;437.375 ;APRS digipeater CW;JG6YKL;re-entered
BhutanSat;54365;;435.080 ;;1200bps FSK;INDUSR;active
Binar-1;49272;435.810 ;435.810/437.292;;1k2/19k2GMSK;VK6BUS;re-entered
Bion-M1;39130;;;;;;non-amateur
BIRD-B;42823;;437.375 ;437.372 ;1k2AFSK 9k6GMSK CW;JG6YJS;re-entered
BIRD-G;42821;;437.375 ;437.372 ;1k2AFSK 9k6GMSK CW;JG6YJP;inactive
BIRD-J;42820;;437.375 ;437.372 ;1k2AFSK 9k6GMSK CW;JG6YJO;re-entered
BIRD-M;42822;;437.375 ;437.372 ;1k2AFSK 9k6GMSK CW;JG6YJQ;re-entered
BIRD-N;42824;;437.375 ;437.372 ;1k2AFSK 9k6GMSK CW;JG6YJR;re-entered
BIRD-BT;43591;145.825 ;145.825 ;437.375 ;APRS digipeater CW;JG6YKL;re-entered
